keyword,type,cluster,page_route,intent
"serveringstillstånd krav restaurang",longtail,"omraden","/omraden/alkohollagen","informational+commercial"
"alkohollagen åldersgräns servering",longtail,"omraden","/omraden/alkohollagen","informational+commercial"
"kunskapsprov alkohollagen",longtail,"omraden","/omraden/alkohollagen","informational+commercial"
"alkohollagen sanktioner och återkallelse",longtail,"omraden","/omraden/alkohollagen","informational+commercial"
"regler för alkoholservering",longtail,"omraden","/omraden/alkohollagen","informational+commercial"
"alkohollagen för företag",longtail,"omraden","/omraden/alkohollagen","informational+commercial"
"ansvarsfull alkoholservering rutin",longtail,"omraden","/omraden/alkohollagen","informational+commercial"
"tillsyn serveringstillstånd kommun",longtail,"omraden","/omraden/alkohollagen","informational+commercial"
"arbetsmiljö",primary,"omraden","/omraden/arbetsmiljo","informational + commercial"
"arbetsmiljölagen",secondary,"omraden","/omraden/arbetsmiljo","informational + commercial"
"systematiskt arbetsmiljöarbete",secondary,"omraden","/omraden/arbetsmiljo","informational + commercial"
"arbetsmiljöansvar",secondary,"omraden","/omraden/arbetsmiljo","informational + commercial"
"vad är systematiskt arbetsmiljöarbete",longtail,"omraden","/omraden/arbetsmiljo","informational + commercial"
"arbetsmiljölagen krav för arbetsgivare",longtail,"omraden","/omraden/arbetsmiljo","informational + commercial"
"SAM checklista",longtail,"omraden","/omraden/arbetsmiljo","informational + commercial"
"arbetsmiljöansvar arbetsgivare",longtail,"omraden","/omraden/arbetsmiljo","informational + commercial"
"riskbedömning arbetsmiljö mall",longtail,"omraden","/omraden/arbetsmiljo","informational + commercial"
"arbetsmiljöverket föreskrifter AFS",longtail,"omraden","/omraden/arbetsmiljo","informational + commercial"
"organisatorisk och social arbetsmiljö",longtail,"omraden","/omraden/arbetsmiljo","informational + commercial"
"skyddsombud rättigheter",longtail,"omraden","/omraden/arbetsmiljo","informational + commercial"
"arbetsmiljöpolicy exempel",longtail,"omraden","/omraden/arbetsmiljo","informational + commercial"
"nya AFS regelstruktur 2025",longtail,"omraden","/omraden/arbetsmiljo","informational + commercial"
"arbetsmiljölagen",primary,"omraden","/omraden/arbetsmiljolagen","informational + commercial"
"arbetsmiljölagen sammanfattning",secondary,"omraden","/omraden/arbetsmiljolagen","informational + commercial"
"arbetsmiljölagen krav",secondary,"omraden","/omraden/arbetsmiljolagen","informational + commercial"
"arbetsgivarens ansvar",secondary,"omraden","/omraden/arbetsmiljolagen","informational + commercial"
"vad säger arbetsmiljölagen",longtail,"omraden","/omraden/arbetsmiljolagen","informational + commercial"
"vad innebär arbetsmiljölagen för arbetsgivare",longtail,"omraden","/omraden/arbetsmiljolagen","informational + commercial"
"arbetsmiljölagen sammanfattning kapitel",longtail,"omraden","/omraden/arbetsmiljolagen","informational + commercial"
"arbetsmiljölagen krav på arbetsgivare",longtail,"omraden","/omraden/arbetsmiljolagen","informational + commercial"
"vad gäller enligt arbetsmiljölagen 3 kap",longtail,"omraden","/omraden/arbetsmiljolagen","informational + commercial"
"skyddsombud arbetsmiljölagen rättigheter",longtail,"omraden","/omraden/arbetsmiljolagen","informational + commercial"
"arbetsmiljölagen och AFS skillnad",longtail,"omraden","/omraden/arbetsmiljolagen","informational + commercial"
"arbetsmiljölagen systematiskt arbetsmiljöarbete",longtail,"omraden","/omraden/arbetsmiljolagen","informational + commercial"
"arbetsmiljölagen straff och sanktionsavgift",longtail,"omraden","/omraden/arbetsmiljolagen","informational + commercial"
"arbetsmiljölagen checklista",longtail,"omraden","/omraden/arbetsmiljolagen","informational + commercial"
"arbetstidslagen",primary,"omraden","/omraden/arbetstidslagen","informational+commercial"
"arbetstidsregler",secondary,"omraden","/omraden/arbetstidslagen","informational+commercial"
"dygnsvila",secondary,"omraden","/omraden/arbetstidslagen","informational+commercial"
"veckovila",secondary,"omraden","/omraden/arbetstidslagen","informational+commercial"
"vad är arbetstidslagen",longtail,"omraden","/omraden/arbetstidslagen","informational+commercial"
"arbetstidslagen dygnsvila 11 timmar",longtail,"omraden","/omraden/arbetstidslagen","informational+commercial"
"arbetstidslagen veckovila krav",longtail,"omraden","/omraden/arbetstidslagen","informational+commercial"
"max ordinarie arbetstid per vecka",longtail,"omraden","/omraden/arbetstidslagen","informational+commercial"
"övertid regler arbetstidslagen",longtail,"omraden","/omraden/arbetstidslagen","informational+commercial"
"arbetstidslagen rast och paus",longtail,"omraden","/omraden/arbetstidslagen","informational+commercial"
"arbetstidslagen kan avtalas bort kollektivavtal",longtail,"omraden","/omraden/arbetstidslagen","informational+commercial"
"arbetstidslagen sanktionsavgift",longtail,"omraden","/omraden/arbetstidslagen","informational+commercial"
"jourtid och beredskap arbetstidslagen",longtail,"omraden","/omraden/arbetstidslagen","informational+commercial"
"arbetstidslagen för chefer undantag",longtail,"omraden","/omraden/arbetstidslagen","informational+commercial"
"avfallsförordningen",primary,"omraden","/omraden/avfallsforordningen","informational+commercial"
"avfallshantering",secondary,"omraden","/omraden/avfallsforordningen","informational+commercial"
"farligt avfall",secondary,"omraden","/omraden/avfallsforordningen","informational+commercial"
"anteckningsskyldighet farligt avfall",secondary,"omraden","/omraden/avfallsforordningen","informational+commercial"
"vad är avfallsförordningen",longtail,"omraden","/omraden/avfallsforordningen","informational+commercial"
"avfallsförordningen 2020:614",longtail,"omraden","/omraden/avfallsforordningen","informational+commercial"
"anteckningsskyldighet farligt avfall",longtail,"omraden","/omraden/avfallsforordningen","informational+commercial"
"rapportera farligt avfall till avfallsregistret",longtail,"omraden","/omraden/avfallsforordningen","informational+commercial"
"krav på avfallshantering företag",longtail,"omraden","/omraden/avfallsforordningen","informational+commercial"
"avfallshierarkin steg",longtail,"omraden","/omraden/avfallsforordningen","informational+commercial"
"transport av farligt avfall tillstånd",longtail,"omraden","/omraden/avfallsforordningen","informational+commercial"
"avfallsförordningen producentansvar",longtail,"omraden","/omraden/avfallsforordningen","informational+commercial"
"avfallskoder EWC-koder",longtail,"omraden","/omraden/avfallsforordningen","informational+commercial"
"avfall checklista verksamhet",longtail,"omraden","/omraden/avfallsforordningen","informational+commercial"
"avfallstrappan",primary,"omraden","/omraden/avfallstrappan","informational+commercial"
"avfallshierarkin",secondary,"omraden","/omraden/avfallstrappan","informational+commercial"
"avfallstrappan steg",secondary,"omraden","/omraden/avfallstrappan","informational+commercial"
"avfallsförordningen",secondary,"omraden","/omraden/avfallstrappan","informational+commercial"
"vad är avfallstrappan",longtail,"omraden","/omraden/avfallstrappan","informational+commercial"
"avfallstrappan fem steg",longtail,"omraden","/omraden/avfallstrappan","informational+commercial"
"avfallshierarkin förklaring",longtail,"omraden","/omraden/avfallstrappan","informational+commercial"
"avfallstrappan ordning",longtail,"omraden","/omraden/avfallstrappan","informational+commercial"
"avfallstrappan exempel företag",longtail,"omraden","/omraden/avfallstrappan","informational+commercial"
"vad säger avfallsförordningen om avfallshierarkin",longtail,"omraden","/omraden/avfallstrappan","informational+commercial"
"skillnad återvinning och bortskaffande",longtail,"omraden","/omraden/avfallstrappan","informational+commercial"
"avfallstrappan miljöbalken",longtail,"omraden","/omraden/avfallstrappan","informational+commercial"
"så följer företag avfallstrappan",longtail,"omraden","/omraden/avfallstrappan","informational+commercial"
"krav på avfallshantering för verksamheter",longtail,"omraden","/omraden/avfallstrappan","informational+commercial"
"boverkets byggregler",primary,"omraden","/omraden/boverkets-byggregler","informational+commercial"
"BBR",secondary,"omraden","/omraden/boverkets-byggregler","informational+commercial"
"byggregler",secondary,"omraden","/omraden/boverkets-byggregler","informational+commercial"
"tekniska egenskapskrav",secondary,"omraden","/omraden/boverkets-byggregler","informational+commercial"
"vad är boverkets byggregler",longtail,"omraden","/omraden/boverkets-byggregler","informational+commercial"
"bbr brandskydd krav",longtail,"omraden","/omraden/boverkets-byggregler","informational+commercial"
"boverkets byggregler tillgänglighet",longtail,"omraden","/omraden/boverkets-byggregler","informational+commercial"
"bbr energihushållning krav",longtail,"omraden","/omraden/boverkets-byggregler","informational+commercial"
"skillnad bbr och plan- och bygglagen",longtail,"omraden","/omraden/boverkets-byggregler","informational+commercial"
"boverkets byggregler fukt",longtail,"omraden","/omraden/boverkets-byggregler","informational+commercial"
"nya byggregler 2025 boverket",longtail,"omraden","/omraden/boverkets-byggregler","informational+commercial"
"bbr buller och ljud",longtail,"omraden","/omraden/boverkets-byggregler","informational+commercial"
"boverkets byggregler bostäder",longtail,"omraden","/omraden/boverkets-byggregler","informational+commercial"
"byggregler checklista nyproduktion",longtail,"omraden","/omraden/boverkets-byggregler","informational+commercial"
"brandskydd",primary,"omraden","/omraden/brandskydd","informational + commercial"
"systematiskt brandskyddsarbete",secondary,"omraden","/omraden/brandskydd","informational + commercial"
"lag om skydd mot olyckor",secondary,"omraden","/omraden/brandskydd","informational + commercial"
"brandsäkerhet",secondary,"omraden","/omraden/brandskydd","informational + commercial"
"vad är systematiskt brandskyddsarbete",longtail,"omraden","/omraden/brandskydd","informational + commercial"
"SBA checklista",longtail,"omraden","/omraden/brandskydd","informational + commercial"
"lag om skydd mot olyckor krav",longtail,"omraden","/omraden/brandskydd","informational + commercial"
"brandskydd ansvar fastighetsägare",longtail,"omraden","/omraden/brandskydd","informational + commercial"
"skriftlig redogörelse brandskydd",longtail,"omraden","/omraden/brandskydd","informational + commercial"
"brandskyddsdokumentation mall",longtail,"omraden","/omraden/brandskydd","informational + commercial"
"brandskyddskontroll egenkontroll",longtail,"omraden","/omraden/brandskydd","informational + commercial"
"brandskyddsansvarig uppgifter",longtail,"omraden","/omraden/brandskydd","informational + commercial"
"brandskydd på arbetsplatsen krav",longtail,"omraden","/omraden/brandskydd","informational + commercial"
"boverkets byggregler brandskydd",longtail,"omraden","/omraden/brandskydd","informational + commercial"
"CE-markning",primary,"omraden","/omraden/ce-markning","informational + commercial"
"CE-marka produkt",secondary,"omraden","/omraden/ce-markning","informational + commercial"
"CE-markning krav",secondary,"omraden","/omraden/ce-markning","informational + commercial"
"forsakran om overensstammelse",secondary,"omraden","/omraden/ce-markning","informational + commercial"
"vad ar CE-markning",longtail,"omraden","/omraden/ce-markning","informational + commercial"
"hur CE-markar man en produkt",longtail,"omraden","/omraden/ce-markning","informational + commercial"
"CE-markning krav EU",longtail,"omraden","/omraden/ce-markning","informational + commercial"
"vilka produkter maste CE-markas",longtail,"omraden","/omraden/ce-markning","informational + commercial"
"CE-markning forsakran om overensstammelse",longtail,"omraden","/omraden/ce-markning","informational + commercial"
"teknisk dokumentation CE",longtail,"omraden","/omraden/ce-markning","informational + commercial"
"CE-markning tillverkare importor ansvar",longtail,"omraden","/omraden/ce-markning","informational + commercial"
"skillnad CE-markning och certifiering",longtail,"omraden","/omraden/ce-markning","informational + commercial"
"CE-markning maskiner",longtail,"omraden","/omraden/ce-markning","informational + commercial"
"CE-markning byggprodukter",longtail,"omraden","/omraden/ce-markning","informational + commercial"
"CSRD",primary,"omraden","/omraden/csrd","informational + commercial"
"hållbarhetsrapportering",secondary,"omraden","/omraden/csrd","informational + commercial"
"hållbarhetsdirektivet",secondary,"omraden","/omraden/csrd","informational + commercial"
"ESRS",secondary,"omraden","/omraden/csrd","informational + commercial"
"vad är CSRD och vad innebär det",longtail,"omraden","/omraden/csrd","informational + commercial"
"CSRD krav för företag",longtail,"omraden","/omraden/csrd","informational + commercial"
"vilka företag omfattas av CSRD",longtail,"omraden","/omraden/csrd","informational + commercial"
"CSRD när börjar det gälla i Sverige",longtail,"omraden","/omraden/csrd","informational + commercial"
"dubbel väsentlighetsanalys CSRD",longtail,"omraden","/omraden/csrd","informational + commercial"
"ESRS standarder hållbarhetsrapportering",longtail,"omraden","/omraden/csrd","informational + commercial"
"CSRD jämfört med NFRD",longtail,"omraden","/omraden/csrd","informational + commercial"
"hållbarhetsrapport krav årsredovisningslagen",longtail,"omraden","/omraden/csrd","informational + commercial"
"CSRD checklista förberedelse",longtail,"omraden","/omraden/csrd","informational + commercial"
"CSRD för små och medelstora företag",longtail,"omraden","/omraden/csrd","informational + commercial"
"diskrimineringslagen",primary,"omraden","/omraden/diskrimineringslagen","informational+commercial"
"aktiva åtgärder",secondary,"omraden","/omraden/diskrimineringslagen","informational+commercial"
"diskrimineringsgrunder",secondary,"omraden","/omraden/diskrimineringslagen","informational+commercial"
"arbetsgivarens ansvar",secondary,"omraden","/omraden/diskrimineringslagen","informational+commercial"
"vad är diskrimineringslagen",longtail,"omraden","/omraden/diskrimineringslagen","informational+commercial"
"diskrimineringslagen sammanfattning",longtail,"omraden","/omraden/diskrimineringslagen","informational+commercial"
"de sju diskrimineringsgrunderna",longtail,"omraden","/omraden/diskrimineringslagen","informational+commercial"
"aktiva åtgärder diskrimineringslagen krav",longtail,"omraden","/omraden/diskrimineringslagen","informational+commercial"
"diskrimineringslagen för arbetsgivare",longtail,"omraden","/omraden/diskrimineringslagen","informational+commercial"
"lönekartläggning krav diskrimineringslagen",longtail,"omraden","/omraden/diskrimineringslagen","informational+commercial"
"direkt och indirekt diskriminering",longtail,"omraden","/omraden/diskrimineringslagen","informational+commercial"
"trakasserier på arbetsplatsen lag",longtail,"omraden","/omraden/diskrimineringslagen","informational+commercial"
"diskrimineringslagen skadestånd",longtail,"omraden","/omraden/diskrimineringslagen","informational+commercial"
"diskrimineringsombudsmannen tillsyn",longtail,"omraden","/omraden/diskrimineringslagen","informational+commercial"
"DORA",primary,"omraden","/omraden/dora","informational + commercial"
"DORA-förordningen",secondary,"omraden","/omraden/dora","informational + commercial"
"digital operativ motståndskraft",secondary,"omraden","/omraden/dora","informational + commercial"
"IKT-risk",secondary,"omraden","/omraden/dora","informational + commercial"
"vad är DORA och vad innebär det",longtail,"omraden","/omraden/dora","informational + commercial"
"DORA krav för finansiella företag",longtail,"omraden","/omraden/dora","informational + commercial"
"vilka företag omfattas av DORA",longtail,"omraden","/omraden/dora","informational + commercial"
"DORA när börjar det gälla",longtail,"omraden","/omraden/dora","informational + commercial"
"DORA IKT-riskhantering",longtail,"omraden","/omraden/dora","informational + commercial"
"DORA incidentrapportering finanssektorn",longtail,"omraden","/omraden/dora","informational + commercial"
"DORA tredjepartsrisk leverantörer",longtail,"omraden","/omraden/dora","informational + commercial"
"DORA hotbaserade penetrationstester TLPT",longtail,"omraden","/omraden/dora","informational + commercial"
"DORA Finansinspektionen tillsyn",longtail,"omraden","/omraden/dora","informational + commercial"
"DORA checklista efterlevnad",longtail,"omraden","/omraden/dora","informational + commercial"
"egenkontroll miljö",primary,"omraden","/omraden/egenkontroll","informational + commercial"
"egenkontrollförordningen",secondary,"omraden","/omraden/egenkontroll","informational + commercial"
"miljöbalken egenkontroll",secondary,"omraden","/omraden/egenkontroll","informational + commercial"
"verksamhetsutövares egenkontroll",secondary,"omraden","/omraden/egenkontroll","informational + commercial"
"vad är egenkontroll miljö",longtail,"omraden","/omraden/egenkontroll","informational + commercial"
"egenkontroll enligt miljöbalken",longtail,"omraden","/omraden/egenkontroll","informational + commercial"
"egenkontrollförordningen krav",longtail,"omraden","/omraden/egenkontroll","informational + commercial"
"egenkontroll mall miljö",longtail,"omraden","/omraden/egenkontroll","informational + commercial"
"egenkontrollprogram exempel",longtail,"omraden","/omraden/egenkontroll","informational + commercial"
"vilka omfattas av egenkontrollförordningen",longtail,"omraden","/omraden/egenkontroll","informational + commercial"
"egenkontroll dokumentation krav",longtail,"omraden","/omraden/egenkontroll","informational + commercial"
"riskbedömning miljö egenkontroll",longtail,"omraden","/omraden/egenkontroll","informational + commercial"
"egenkontroll checklista företag",longtail,"omraden","/omraden/egenkontroll","informational + commercial"
"ansvarsfördelning egenkontroll miljöbalken",longtail,"omraden","/omraden/egenkontroll","informational + commercial"
"elsäkerhetslagen",primary,"omraden","/omraden/elsakerhetslagen","informational+commercial"
"elinstallationsföretag",secondary,"omraden","/omraden/elsakerhetslagen","informational+commercial"
"egenkontrollprogram",secondary,"omraden","/omraden/elsakerhetslagen","informational+commercial"
"elsäkerhet",secondary,"omraden","/omraden/elsakerhetslagen","informational+commercial"
"vad är elsäkerhetslagen",longtail,"omraden","/omraden/elsakerhetslagen","informational+commercial"
"elsäkerhetslagen sammanfattning",longtail,"omraden","/omraden/elsakerhetslagen","informational+commercial"
"krav på elinstallationsföretag",longtail,"omraden","/omraden/elsakerhetslagen","informational+commercial"
"egenkontrollprogram el krav",longtail,"omraden","/omraden/elsakerhetslagen","informational+commercial"
"elsäkerhetslagen 2017 nyheter",longtail,"omraden","/omraden/elsakerhetslagen","informational+commercial"
"auktorisation elinstallatör regler",longtail,"omraden","/omraden/elsakerhetslagen","informational+commercial"
"elsäkerhetsverket tillsyn",longtail,"omraden","/omraden/elsakerhetslagen","informational+commercial"
"elanläggning ansvar innehavare",longtail,"omraden","/omraden/elsakerhetslagen","informational+commercial"
"elsäkerhetslagen sanktionsavgift",longtail,"omraden","/omraden/elsakerhetslagen","informational+commercial"
"checklista egenkontroll elinstallation",longtail,"omraden","/omraden/elsakerhetslagen","informational+commercial"
"energikartläggning",primary,"omraden","/omraden/energikartlaggning","informational+commercial"
"energikartläggning stora företag",secondary,"omraden","/omraden/energikartlaggning","informational+commercial"
"EKL lag",secondary,"omraden","/omraden/energikartlaggning","informational+commercial"
"lag 2014:266",secondary,"omraden","/omraden/energikartlaggning","informational+commercial"
"vad är energikartläggning",longtail,"omraden","/omraden/energikartlaggning","informational+commercial"
"vilka företag måste göra energikartläggning",longtail,"omraden","/omraden/energikartlaggning","informational+commercial"
"energikartläggning i stora företag krav",longtail,"omraden","/omraden/energikartlaggning","informational+commercial"
"hur ofta ska energikartläggning göras",longtail,"omraden","/omraden/energikartlaggning","informational+commercial"
"definition stora företag energikartläggning",longtail,"omraden","/omraden/energikartlaggning","informational+commercial"
"energikartläggning lag 2014:266",longtail,"omraden","/omraden/energikartlaggning","informational+commercial"
"vad kostar en energikartläggning",longtail,"omraden","/omraden/energikartlaggning","informational+commercial"
"energikartläggning rapportering energimyndigheten",longtail,"omraden","/omraden/energikartlaggning","informational+commercial"
"skillnad energikartläggning och energideklaration",longtail,"omraden","/omraden/energikartlaggning","informational+commercial"
"energikartläggning checklista",longtail,"omraden","/omraden/energikartlaggning","informational+commercial"
"ESG",primary,"omraden","/omraden/esg","informational+commercial"
"ESG rapportering",secondary,"omraden","/omraden/esg","informational+commercial"
"hållbarhetsrapportering",secondary,"omraden","/omraden/esg","informational+commercial"
"CSRD",secondary,"omraden","/omraden/esg","informational+commercial"
"vad betyder ESG",longtail,"omraden","/omraden/esg","informational+commercial"
"vad står ESG för",longtail,"omraden","/omraden/esg","informational+commercial"
"ESG rapportering krav företag",longtail,"omraden","/omraden/esg","informational+commercial"
"skillnad ESG och hållbarhet",longtail,"omraden","/omraden/esg","informational+commercial"
"CSRD vilka företag omfattas",longtail,"omraden","/omraden/esg","informational+commercial"
"ESG för små och medelstora företag",longtail,"omraden","/omraden/esg","informational+commercial"
"hållbarhetsrapportering årsredovisningslagen",longtail,"omraden","/omraden/esg","informational+commercial"
"ESG due diligence i leverantörskedjan",longtail,"omraden","/omraden/esg","informational+commercial"
"ESRS standarder förklaring",longtail,"omraden","/omraden/esg","informational+commercial"
"ESG checklista företag",longtail,"omraden","/omraden/esg","informational+commercial"
"EU-taxonomin",primary,"omraden","/omraden/eu-taxonomin","informational + commercial"
"taxonomiförordningen",secondary,"omraden","/omraden/eu-taxonomin","informational + commercial"
"hållbara investeringar",secondary,"omraden","/omraden/eu-taxonomin","informational + commercial"
"miljömål",secondary,"omraden","/omraden/eu-taxonomin","informational + commercial"
"vad är EU-taxonomin enkelt förklarat",longtail,"omraden","/omraden/eu-taxonomin","informational + commercial"
"EU-taxonomin krav för företag",longtail,"omraden","/omraden/eu-taxonomin","informational + commercial"
"vilka företag omfattas av taxonomin",longtail,"omraden","/omraden/eu-taxonomin","informational + commercial"
"taxonomins sex miljömål",longtail,"omraden","/omraden/eu-taxonomin","informational + commercial"
"taxonomi förenlig och berättigad verksamhet",longtail,"omraden","/omraden/eu-taxonomin","informational + commercial"
"do no significant harm DNSH taxonomin",longtail,"omraden","/omraden/eu-taxonomin","informational + commercial"
"taxonomirapportering omsättning capex opex",longtail,"omraden","/omraden/eu-taxonomin","informational + commercial"
"EU-taxonomin koppling till CSRD",longtail,"omraden","/omraden/eu-taxonomin","informational + commercial"
"taxonomiförordningen 2020 852",longtail,"omraden","/omraden/eu-taxonomin","informational + commercial"
"taxonomi checklista hållbarhetsrapport",longtail,"omraden","/omraden/eu-taxonomin","informational + commercial"
"GDPR",primary,"omraden","/omraden/gdpr","informational + commercial"
"dataskyddsforordningen",secondary,"omraden","/omraden/gdpr","informational + commercial"
"personuppgifter",secondary,"omraden","/omraden/gdpr","informational + commercial"
"dataskydd",secondary,"omraden","/omraden/gdpr","informational + commercial"
"vad ar GDPR och vad innebar det",longtail,"omraden","/omraden/gdpr","informational + commercial"
"GDPR krav for foretag",longtail,"omraden","/omraden/gdpr","informational + commercial"
"GDPR checklista 2026",longtail,"omraden","/omraden/gdpr","informational + commercial"
"behandla personuppgifter lagligt",longtail,"omraden","/omraden/gdpr","informational + commercial"
"personuppgiftsbitradesavtal mall",longtail,"omraden","/omraden/gdpr","informational + commercial"
"rattslig grund personuppgifter",longtail,"omraden","/omraden/gdpr","informational + commercial"
"registerforteckning artikel 30",longtail,"omraden","/omraden/gdpr","informational + commercial"
"GDPR boter och sanktionsavgift",longtail,"omraden","/omraden/gdpr","informational + commercial"
"dataskyddsombud nar kravs det",longtail,"omraden","/omraden/gdpr","informational + commercial"
"efterleva GDPR i praktiken",longtail,"omraden","/omraden/gdpr","informational + commercial"
"internrevision",primary,"omraden","/omraden/internrevision","informational + commercial"
"intern revision ledningssystem",secondary,"omraden","/omraden/internrevision","informational + commercial"
"internrevision ISO",secondary,"omraden","/omraden/internrevision","informational + commercial"
"revisionsplan",secondary,"omraden","/omraden/internrevision","informational + commercial"
"vad är internrevision",longtail,"omraden","/omraden/internrevision","informational + commercial"
"internrevision ISO 9001",longtail,"omraden","/omraden/internrevision","informational + commercial"
"internrevision checklista",longtail,"omraden","/omraden/internrevision","informational + commercial"
"internrevision mall",longtail,"omraden","/omraden/internrevision","informational + commercial"
"hur gör man en internrevision",longtail,"omraden","/omraden/internrevision","informational + commercial"
"internrevision av ledningssystem steg för steg",longtail,"omraden","/omraden/internrevision","informational + commercial"
"skillnad internrevision och externrevision",longtail,"omraden","/omraden/internrevision","informational + commercial"
"revisionsprogram internrevision",longtail,"omraden","/omraden/internrevision","informational + commercial"
"krav på internrevision ISO 14001",longtail,"omraden","/omraden/internrevision","informational + commercial"
"vem får göra internrevision",longtail,"omraden","/omraden/internrevision","informational + commercial"
"ISO 14001",primary,"omraden","/omraden/iso-14001","informational+commercial"
"miljöledningssystem",secondary,"omraden","/omraden/iso-14001","informational+commercial"
"ISO 14001 certifiering",secondary,"omraden","/omraden/iso-14001","informational+commercial"
"bindande krav ISO 14001",secondary,"omraden","/omraden/iso-14001","informational+commercial"
"vad är ISO 14001",longtail,"omraden","/omraden/iso-14001","informational+commercial"
"krav i ISO 14001 checklista",longtail,"omraden","/omraden/iso-14001","informational+commercial"
"ISO 14001 bindande krav lista",longtail,"omraden","/omraden/iso-14001","informational+commercial"
"hur certifiera sig enligt ISO 14001",longtail,"omraden","/omraden/iso-14001","informational+commercial"
"ISO 14001 lagefterlevnad utvärdering",longtail,"omraden","/omraden/iso-14001","informational+commercial"
"miljöledningssystem för företag",longtail,"omraden","/omraden/iso-14001","informational+commercial"
"skillnad ISO 14001 och EMAS",longtail,"omraden","/omraden/iso-14001","informational+commercial"
"ISO 14001 internrevision",longtail,"omraden","/omraden/iso-14001","informational+commercial"
"laglista för ISO 14001",longtail,"omraden","/omraden/iso-14001","informational+commercial"
"ISO 14001:2015 krav punkt för punkt",longtail,"omraden","/omraden/iso-14001","informational+commercial"
"ISO 27001",primary,"omraden","/omraden/iso-27001","informational + commercial"
"ledningssystem för informationssäkerhet",secondary,"omraden","/omraden/iso-27001","informational + commercial"
"ISO 27001 certifiering",secondary,"omraden","/omraden/iso-27001","informational + commercial"
"ISO/IEC 27001:2022",secondary,"omraden","/omraden/iso-27001","informational + commercial"
"vad är ISO 27001",longtail,"omraden","/omraden/iso-27001","informational + commercial"
"ISO 27001 krav",longtail,"omraden","/omraden/iso-27001","informational + commercial"
"ISO 27001 certifiering steg för steg",longtail,"omraden","/omraden/iso-27001","informational + commercial"
"ISO 27001 checklista",longtail,"omraden","/omraden/iso-27001","informational + commercial"
"ISO 27001 och GDPR",longtail,"omraden","/omraden/iso-27001","informational + commercial"
"ISO 27001 lagefterlevnad krav",longtail,"omraden","/omraden/iso-27001","informational + commercial"
"ISO 27001 vad kostar en certifiering",longtail,"omraden","/omraden/iso-27001","informational + commercial"
"ISO 27001 Annex A kontroller",longtail,"omraden","/omraden/iso-27001","informational + commercial"
"ISO 27001 och NIS2",longtail,"omraden","/omraden/iso-27001","informational + commercial"
"ISO 27001 för IT-företag",longtail,"omraden","/omraden/iso-27001","informational + commercial"
"ISO 45001",primary,"omraden","/omraden/iso-45001","informational + commercial"
"ledningssystem för arbetsmiljö",secondary,"omraden","/omraden/iso-45001","informational + commercial"
"ISO 45001 certifiering",secondary,"omraden","/omraden/iso-45001","informational + commercial"
"arbetsmiljöstandard",secondary,"omraden","/omraden/iso-45001","informational + commercial"
"vad är ISO 45001",longtail,"omraden","/omraden/iso-45001","informational + commercial"
"ISO 45001 krav",longtail,"omraden","/omraden/iso-45001","informational + commercial"
"ISO 45001 certifiering steg för steg",longtail,"omraden","/omraden/iso-45001","informational + commercial"
"ISO 45001 checklista",longtail,"omraden","/omraden/iso-45001","informational + commercial"
"skillnad mellan ISO 45001 och OHSAS 18001",longtail,"omraden","/omraden/iso-45001","informational + commercial"
"ISO 45001 lagefterlevnad krav",longtail,"omraden","/omraden/iso-45001","informational + commercial"
"ISO 45001 vad kostar en certifiering",longtail,"omraden","/omraden/iso-45001","informational + commercial"
"ISO 45001 förteckning över lagar och krav",longtail,"omraden","/omraden/iso-45001","informational + commercial"
"ISO 45001 internrevision",longtail,"omraden","/omraden/iso-45001","informational + commercial"
"ISO 45001 för bygg och industri",longtail,"omraden","/omraden/iso-45001","informational + commercial"
"ISO 50001",primary,"omraden","/omraden/iso-50001","informational + commercial"
"energiledningssystem",secondary,"omraden","/omraden/iso-50001","informational + commercial"
"ISO 50001 certifiering",secondary,"omraden","/omraden/iso-50001","informational + commercial"
"energiledning standard",secondary,"omraden","/omraden/iso-50001","informational + commercial"
"vad är ISO 50001",longtail,"omraden","/omraden/iso-50001","informational + commercial"
"ISO 50001 krav",longtail,"omraden","/omraden/iso-50001","informational + commercial"
"ISO 50001 certifiering steg för steg",longtail,"omraden","/omraden/iso-50001","informational + commercial"
"ISO 50001 checklista",longtail,"omraden","/omraden/iso-50001","informational + commercial"
"ISO 50001 och energikartläggning i stora företag",longtail,"omraden","/omraden/iso-50001","informational + commercial"
"ISO 50001 lagefterlevnad",longtail,"omraden","/omraden/iso-50001","informational + commercial"
"vad kostar ISO 50001 certifiering",longtail,"omraden","/omraden/iso-50001","informational + commercial"
"ISO 50001 fördelar",longtail,"omraden","/omraden/iso-50001","informational + commercial"
"ISO 50001 internrevision",longtail,"omraden","/omraden/iso-50001","informational + commercial"
"ISO 50001 för industri och fastighet",longtail,"omraden","/omraden/iso-50001","informational + commercial"
"ISO 9000",primary,"omraden","/omraden/iso-9000","informational (med mjuk commercial)"
"kvalitetsledning principer",secondary,"omraden","/omraden/iso-9000","informational (med mjuk commercial)"
"ISO 9000 vs ISO 9001",secondary,"omraden","/omraden/iso-9000","informational (med mjuk commercial)"
"kvalitetsbegrepp",secondary,"omraden","/omraden/iso-9000","informational (med mjuk commercial)"
"vad är ISO 9000",longtail,"omraden","/omraden/iso-9000","informational (med mjuk commercial)"
